Paises;Moeda;Produto Interno Bruto
Albania;US$;11,863,866,791
Angola;US$;106,917,535,790
Argentina;US$;545,866,164,479
Armenia;US$;10,572,299,425
Australia;US$;1,304,463,104,965
Austria;US$;390,799,991,147
Brazil;US$;1,795,925,681,016
Canada;US$;1,529,760,492,201
Caribbean;US$;347,034,889,946
Chile;US$;247,045,730,477
Colombia;US$;282,462,551,367
Costa Rica;US$;57,435,510,668
Croatia;US$; 51,231,002,611 
Cuba;US$;89,688,700,000
Czech Republic;US$;195,305,084,919
Denmark;US$;306,899,653,410
Ecuador;US$;98,010,212,618
Egypt;US$;270,143,813,412
El Salvador;US$;26,797,469,656
Estonia;US$;23,337,920,560
Ethiopia;US$;70,314,560,872
Finland;US$;238,502,900,312
Gabon;US$;13,863,183,526
Gambia;US$;985,831,536
Georgia;US$;14,332,728,707
Greece;US$;192,690,813,127
Guatemala;US$;68,762,920,570
Honduras;US$;21,516,915,353
India;US$;2,259,642,382,872
Israel;US$;317,747,579,750
Italy;US$;1,858,913,163,928
Jamaica;US$;14,056,901,075
Japan;US$;4,936,211,827,875
Kenya;US$;70,525,979,046
Malaysia;US$;296,531,469,473
Mexico;US$;1,076,914,464,477
Monaco;US$;6,468,000,877
Nepal;US$;20,914,004,957
Netherlands;US$;777,227,541,581
New Zealand;US$;187,517,098,554
Nicaragua;US$;13,230,214,875
Nigeria;US$;404,649,125,399
Panama;US$;55,187,800,000
Paraguay;US$;27,165,101,909
Peru;US$;192,209,529,586
Russian Federation;US$;1,246,015,056,927
South Africa;US$;295,440,009,818
Spain;US$;1,237,255,019,654
United States;US$;18,624,475,000,000
